,subgraph_type,connection_prob,layers,StDev,nodes_per_layer,edges_per_layer,subgraph_prob,sample_size,modularity_top,avg_node_degree_top,avg_connect_within_top,avg_connect_between_top,modularity_middle,avg_node_degree_middle,avg_connect_within_middle,avg_connect_between_middle
0,small world,disc,2,0.1,"(5, 351)","(0, 351)","[0.5, 0.2]",500,0.7903344940381986,1.0,70.2,0.0,NA,NA,NA,NA
1,small world,disc,2,0.5,"(5, 378)","(0, 378)","[0.5, 0.2]",500,0.7973321015649053,1.0,75.6,0.0,NA,NA,NA,NA
2,small world,disc,3,0.1,"(5, 15, 970)","(0, 15, 2050)","[0.5, 0.2]",500,0.799972873289708,2.11340206185567,410.0,0.0,0.8795691850089233,2.11340206185567,129.33333333333334,0.5238095238095238
3,small world,disc,3,0.5,"(5, 15, 968)","(0, 15, 2069)","[0.5, 0.2]",500,0.7999685102718885,2.137396694214876,413.8,0.0,0.8689027488336761,2.137396694214876,129.06666666666666,0.6333333333333333
4,small world,full,2,0.1,"(5, 392)","(10, 6501)","[0.5, 0.2]",500,-0.1459238897871923,16.584183673469386,78.4,305.45,NA,NA,NA,NA
5,small world,full,2,0.5,"(5, 372)","(10, 5840)","[0.5, 0.2]",500,-0.13976143214017642,15.698924731182796,74.4,273.4,NA,NA,NA,NA
6,small world,full,3,0.1,"(5, 15, 980)","(10, 30, 2168)","[0.5, 0.2]",500,0.7652991644653526,2.2122448979591836,418.6,3.75,0.8372744575577674,2.2122448979591836,130.66666666666666,0.9904761904761905
7,small world,full,3,0.5,"(5, 15, 987)","(10, 29, 2179)","[0.5, 0.2]",500,0.7681183671328868,2.2077001013171227,422.0,3.45,0.8390804755055823,2.2077001013171227,131.6,0.9761904761904762
8,scale free,disc,2,0.1,"(5, 365)","(0, 5624)","[0.5, 0.2]",500,0.732305815960454,15.408219178082192,1124.8,0.0,NA,NA,NA,NA
9,scale free,disc,2,0.5,"(5, 347)","(0, 3644)","[0.5, 0.2]",500,0.7330639000579573,10.501440922190202,728.8,0.0,NA,NA,NA,NA
10,scale free,disc,3,0.1,"(5, 15, 963)","(0, 10, 10219)","[0.5, 0.2]",500,0.7793756118631868,10.611630321910695,2043.8,0.0,0.9084788460056209,10.611630321910695,675.2,0.43333333333333335
11,scale free,disc,3,0.5,"(5, 15, 982)","(0, 10, 12870)","[0.5, 0.2]",500,0.7953190261348773,13.10590631364562,2574.0,0.0,0.9193586211768029,13.10590631364562,851.8666666666667,0.4380952380952381
12,scale free,full,2,0.1,"(5, 385)","(10, 10949)","[0.5, 0.2]",500,0.24892226307740986,28.43896103896104,1012.8,294.25,NA,NA,NA,NA
13,scale free,full,2,0.5,"(5, 421)","(10, 11961)","[0.5, 0.2]",500,0.19778619476037138,28.410926365795724,972.4,354.95,NA,NA,NA,NA
14,scale free,full,3,0.1,"(5, 15, 993)","(10, 26, 11600)","[0.5, 0.2]",500,0.7882818370986919,11.681772406847935,2306.0,3.5,0.9106163161414983,11.681772406847935,762.2666666666667,0.7904761904761904
15,scale free,full,3,0.5,"(5, 15, 972)","(10, 23, 10609)","[0.5, 0.2]",500,0.791764588675232,10.914609053497943,2111.8,2.5,0.9120476631364617,10.914609053497943,699.4,0.5619047619047619
16,random graph,disc,2,0.1,"(5, 387)","(0, 11309)","[0.5, 0.2]",500,0.7877358033596725,29.22222222222222,2261.8,0.0,NA,NA,NA,NA
17,random graph,disc,2,0.5,"(5, 373)","(0, 10758)","[0.5, 0.2]",500,0.7656419390839888,28.841823056300267,2151.6,0.0,NA,NA,NA,NA
18,random graph,disc,3,0.1,"(5, 15, 957)","(0, 10, 11106)","[0.5, 0.2]",500,0.799186021031587,11.60501567398119,2221.2,0.0,0.9257859912156028,11.60501567398119,735.3333333333334,0.3619047619047619
19,random graph,disc,3,0.5,"(5, 15, 996)","(0, 8, 11638)","[0.5, 0.2]",500,0.7997807846078829,11.684738955823294,2327.6,0.0,0.9279637609148832,11.684738955823294,772.1333333333333,0.26666666666666666
20,random graph,full,2,0.1,"(5, 387)","(10, 17382)","[0.5, 0.2]",500,0.44351438503145385,44.91472868217054,2284.8,297.9,NA,NA,NA,NA
21,random graph,full,2,0.5,"(5, 369)","(10, 15965)","[0.5, 0.2]",500,0.44414719836661154,43.265582655826556,2111.2,270.45,NA,NA,NA,NA
22,random graph,full,3,0.1,"(5, 15, 985)","(10, 24, 11559)","[0.5, 0.2]",500,0.7945127448497098,11.73502538071066,2299.8,3.0,0.9201460961733983,11.73502538071066,760.8666666666667,0.6952380952380952
23,random graph,full,3,0.5,"(5, 15, 982)","(10, 28, 11644)","[0.5, 0.2]",500,0.7940256899668995,11.85743380855397,2315.2,3.4,0.9176512155647898,11.85743380855397,764.4,0.8476190476190476
