,Gamma,input_graph,Network_type,Connection_prob,Layers,Dtandard_dev,Top_homogeneity,Top_completeness,Top_NMI,Middle_homogeneity,Middle_Completeness,Middle_NMI,Resolution_top,Resolution_middle,Louvain_modularity,Louvain_homogenity_top,Louvain_completeness_top,Louvain_NMI_top,Louvain_homogenity_middle,Louvain_completeness_middle,Louvain_NMI_middle,Comms_predicted_top,Comms_predicted_middle,Louvain_predicted,Modularity_top,Modularity_middle,True_mod_top,True_mod_middle,True_aeb_top,True_aeb_middle,True_aew_top,True_aew_middle
0,1,A_ingraph_true,small world,disc,2,0.1,0.7347,1.0,0.847,NA,NA,NA,1,1,0.8963,1.0,1.0,1.0,NA,NA,NA,6,NA,10,0.7938,NA,0.8963220116344528,,0.0,,29.2,
1,1,A_ingraph_true,small world,disc,2,0.5,0.8272,1.0,0.9054,NA,NA,NA,1,1,0.8963,1.0,1.0,1.0,NA,NA,NA,7,NA,10,0.8406,NA,0.8963220116344528,,0.0,,29.2,
2,1,A_ingraph_true,small world,disc,3,0.1,0.3759,0.6425,0.4743,0.4503,0.9368,0.6082,1,1,0.937,1.0,0.6855,0.8134,0.6298,0.9309,0.7513,5,14,29,0.6862,0.8473,0.8974665600000034,0.7137938200000006,0.0,0.0686496601989559,500.0,25.216783216783217
3,1,A_ingraph_true,small world,disc,3,0.5,0.4059,0.6572,0.5018,0.442,0.9463,0.6025,1,1,0.9359,1.0,0.6818,0.8108,0.6314,0.9281,0.7515,4,12,30,0.6945,0.8523,0.8974678655433584,0.7185351141051546,0.0,0.0670737712991234,497.0,25.23076923076923
4,1,A_ingraph_true,small world,full,2,0.1,0.6863,0.8519,0.7602,NA,NA,NA,1,1,0.6704,0.8654,0.8385,0.8518,NA,NA,NA,7,NA,11,0.6457,NA,0.6480594233450742,,1.0777777777777775,,29.2,
5,1,A_ingraph_true,small world,full,2,0.5,0.6946,0.9844,0.8145,NA,NA,NA,1,1,0.6795,0.8759,0.8468,0.8611,NA,NA,NA,6,NA,11,0.5939,NA,0.6675357314415801,,0.9666666666666668,,29.2,
6,1,A_ingraph_true,small world,full,3,0.1,0.225,0.4107,0.2907,0.4427,0.8626,0.5851,1,1,0.8948,0.9298,0.6067,0.7343,0.6553,0.9218,0.766,5,23,43,0.5986,0.7502,0.8538932398002711,0.6864461774267521,2.522222222222222,0.0784497192947897,497.8,25.25874125874126
7,1,A_ingraph_true,small world,full,3,0.5,0.275,0.442,0.3391,0.448,0.8812,0.594,1,1,0.8931,0.927,0.6095,0.7354,0.6494,0.9207,0.7616,6,19,43,0.6512,0.7934,0.8529440407568846,0.6904505705808073,2.555555555555556,0.0768738303949571,493.8,25.223776223776223
8,1,A_ingraph_true,scale free,disc,2,0.1,0.7031,1.0,0.8257,NA,NA,NA,1,1,0.8889,1.0,1.0,1.0,NA,NA,NA,6,NA,10,0.7586,NA,0.8888703553118391,,0.0,,65.7,
9,1,A_ingraph_true,scale free,disc,2,0.5,0.7677,1.0,0.8686,NA,NA,NA,1,1,0.8889,1.0,1.0,1.0,NA,NA,NA,6,NA,10,0.8154,NA,0.8888703553118391,,0.0,,65.7,
10,1,A_ingraph_true,scale free,disc,3,0.1,0.4532,0.7973,0.5779,0.3518,0.9655,0.5157,1,1,0.9029,1.0,0.8307,0.9075,0.5118,0.9482,0.6648,4,8,27,0.7672,0.7914,0.8946683183001,0.5349573944306312,0.0,0.1375739644970414,852.4,27.325443786982248
11,1,A_ingraph_true,scale free,disc,3,0.5,0.6461,0.9225,0.76,0.3227,0.9618,0.4833,1,1,0.9009,1.0,0.8424,0.9145,0.5019,0.9429,0.6551,5,7,25,0.7757,0.7757,0.8946604127223766,0.5305541543961698,0.0,0.1399690053536207,859.0,27.31360946745562
12,1,A_ingraph_true,scale free,full,2,0.1,0.5953,1.0,0.7463,NA,NA,NA,1,1,0.7091,1.0,1.0,1.0,NA,NA,NA,4,NA,10,0.6154,NA,0.7091084336602002,,1.6222222222222222,,65.7,
13,1,A_ingraph_true,scale free,full,2,0.5,0.2894,1.0,0.4488,NA,NA,NA,1,1,0.7225,1.0,1.0,1.0,NA,NA,NA,2,NA,10,0.3862,NA,0.7225052074987981,,1.477777777777778,,65.7,
14,1,A_ingraph_true,scale free,full,3,0.1,0.2974,0.6651,0.411,0.2341,0.9327,0.3742,1,1,0.8705,0.9605,0.8129,0.8806,0.5048,0.9527,0.6599,3,5,26,0.5723,0.6304,0.8642100545756815,0.517298115668012,3.022222222222222,0.1476472245703015,853.7,27.31952662721893
15,1,A_ingraph_true,scale free,full,3,0.5,0.2815,0.6528,0.3934,0.2773,0.9425,0.4286,1,1,0.8684,0.9729,0.7936,0.8742,0.5204,0.9468,0.6716,4,7,27,0.5407,0.6683,0.8611419557132477,0.5119889923487843,3.333333333333333,0.1508523527754297,860.1,27.325443786982248
16,1,A_ingraph_true,random graph,disc,2,0.1,0.7338,0.744,0.7389,NA,NA,NA,1,1,0.9317,1.0,0.7109,0.831,NA,NA,NA,10,NA,28,0.8655,NA,0.8834915997078159,,0.0,,7.4,
17,1,A_ingraph_true,random graph,disc,2,0.5,0.7448,0.7927,0.768,NA,NA,NA,1,1,0.9317,1.0,0.7109,0.831,NA,NA,NA,9,NA,28,0.85,NA,0.8834915997078159,,0.0,,7.4,
18,1,A_ingraph_true,random graph,disc,3,0.1,0.1711,0.276,0.2113,0.3965,0.7356,0.5153,1,1,0.9743,1.0,0.4841,0.6524,0.8054,0.7903,0.7978,6,25,172,0.6634,0.7966,0.8882627894927082,0.7061917870724527,0.0,0.0258805841924398,85.3,6.309278350515464
19,1,A_ingraph_true,random graph,disc,3,0.5,0.1134,0.2356,0.1531,0.4411,0.7456,0.5543,1,1,0.9745,1.0,0.4822,0.6507,0.8089,0.7906,0.7996,4,25,172,0.5579,0.8455,0.8869750000338806,0.7011164401847998,0.0,0.026524914089347,85.9,6.309278350515464
20,1,A_ingraph_true,random graph,full,2,0.1,0.508,0.5512,0.5287,NA,NA,NA,1,1,0.6018,0.8092,0.6452,0.7179,NA,NA,NA,10,NA,22,0.6517,NA,0.4255214533409244,,0.7222222222222222,,7.4,
21,1,A_ingraph_true,random graph,full,2,0.5,0.3387,0.451,0.3869,NA,NA,NA,1,1,0.5952,0.7726,0.6405,0.7004,NA,NA,NA,8,NA,21,0.6085,NA,0.4270373871035496,,0.7111111111111111,,7.4,
22,1,A_ingraph_true,random graph,full,3,0.1,0.0192,0.0634,0.0295,0.3812,0.632,0.4755,1,1,0.9309,0.9316,0.4572,0.6134,0.7893,0.7851,0.7872,2,20,172,0.4617,0.6897,0.8040319072962436,0.6454068653296586,0.8888888888888888,0.0342568728522336,85.1,6.309278350515464
23,1,A_ingraph_true,random graph,full,3,0.5,0.0443,0.1124,0.0635,0.4356,0.632,0.5157,1,1,0.9389,0.9269,0.4538,0.6093,0.7927,0.7866,0.7896,4,26,172,0.4935,0.7225,0.818756464572681,0.6488636961285605,0.7222222222222222,0.0337199312714776,86.0,6.298969072164948
0,0.5,A_ingraph_true,small world,disc,2,0.1,0.8694,1.0,0.9301,NA,NA,NA,1,1,0.8963,1.0,1.0,1.0,NA,NA,NA,8,NA,10,0.8493,NA,0.8963220116344528,,0.0,,29.2,
1,0.5,A_ingraph_true,small world,disc,2,0.5,0.6546,1.0,0.7913,NA,NA,NA,1,1,0.8963,1.0,1.0,1.0,NA,NA,NA,5,NA,10,0.7556,NA,0.8963220116344528,,0.0,,29.2,
2,0.5,A_ingraph_true,small world,disc,3,0.1,0.4648,0.6107,0.5278,0.4832,0.9552,0.6417,1,1,0.936,1.0,0.6937,0.8191,0.6266,0.9371,0.751,6,16,28,0.7836,0.8693,0.8974665600000034,0.7137938200000006,0.0,0.0686496601989559,500.0,25.216783216783217
3,0.5,A_ingraph_true,small world,disc,3,0.5,0.3955,0.5861,0.4723,0.4606,0.9206,0.614,1,1,0.9353,1.0,0.6893,0.8161,0.6273,0.9323,0.75,5,18,29,0.7413,0.8468,0.8974678655433584,0.7185351141051546,0.0,0.0670737712991234,497.0,25.23076923076923
4,0.5,A_ingraph_true,small world,full,2,0.1,0.7232,0.8857,0.7962,NA,NA,NA,1,1,0.6709,0.8795,0.8507,0.8649,NA,NA,NA,7,NA,11,0.6527,NA,0.6480594233450742,,1.0777777777777775,,29.2,
5,0.5,A_ingraph_true,small world,full,2,0.5,0.7597,0.9457,0.8426,NA,NA,NA,1,1,0.6812,0.8644,0.8363,0.8501,NA,NA,NA,7,NA,11,0.6446,NA,0.6675357314415801,,0.9666666666666668,,29.2,
6,0.5,A_ingraph_true,small world,full,3,0.1,0.2195,0.4791,0.301,0.4802,0.9128,0.6294,1,1,0.895,0.9213,0.6277,0.7467,0.6294,0.9246,0.7489,4,23,37,0.5793,0.8289,0.8538932398002711,0.6864461774267521,2.522222222222222,0.0784497192947897,497.8,25.25874125874126
7,0.5,A_ingraph_true,small world,full,3,0.5,0.3631,0.5674,0.4429,0.4433,0.8846,0.5906,1,1,0.8919,0.9164,0.6119,0.7338,0.6416,0.9237,0.7572,6,18,42,0.6641,0.7965,0.8529440407568846,0.6904505705808073,2.555555555555556,0.0768738303949571,493.8,25.223776223776223
8,0.5,A_ingraph_true,scale free,disc,2,0.1,0.7658,1.0,0.8673,NA,NA,NA,1,1,0.8889,1.0,1.0,1.0,NA,NA,NA,6,NA,10,0.826,NA,0.8888703553118391,,0.0,,65.7,
9,0.5,A_ingraph_true,scale free,disc,2,0.5,0.816,1.0,0.8987,NA,NA,NA,1,1,0.8889,1.0,1.0,1.0,NA,NA,NA,7,NA,10,0.8233,NA,0.8888703553118391,,0.0,,65.7,
10,0.5,A_ingraph_true,scale free,disc,3,0.1,0.3627,0.7653,0.4921,0.3208,0.9437,0.4788,1,1,0.9034,1.0,0.8456,0.9164,0.5041,0.9508,0.6589,3,8,26,0.6333,0.7421,0.8946683183001,0.5349573944306312,0.0,0.1375739644970414,852.4,27.325443786982248
11,0.5,A_ingraph_true,scale free,disc,3,0.5,0.5955,0.8716,0.7076,0.3236,0.9643,0.4846,1,1,0.9023,1.0,0.8595,0.9245,0.4985,0.9556,0.6552,5,9,24,0.7528,0.7682,0.8946604127223766,0.5305541543961698,0.0,0.1399690053536207,859.0,27.31360946745562
12,0.5,A_ingraph_true,scale free,full,2,0.1,0.5017,1.0,0.6682,NA,NA,NA,1,1,0.7091,1.0,1.0,1.0,NA,NA,NA,4,NA,10,0.4975,NA,0.7091084336602002,,1.6222222222222222,,65.7,
13,0.5,A_ingraph_true,scale free,full,2,0.5,0.4868,0.9812,0.6507,NA,NA,NA,1,1,0.7225,1.0,1.0,1.0,NA,NA,NA,4,NA,10,0.5235,NA,0.7225052074987981,,1.477777777777778,,65.7,
14,0.5,A_ingraph_true,scale free,full,3,0.1,0.196,0.6452,0.3007,0.2224,0.833,0.3511,1,1,0.8701,0.957,0.7999,0.8714,0.5107,0.9519,0.6647,1,5,25,0.4321,0.5924,0.8642100545756815,0.517298115668012,3.022222222222222,0.1476472245703015,853.7,27.31952662721893
15,0.5,A_ingraph_true,scale free,full,3,0.5,0.3872,0.815,0.525,0.2052,0.9408,0.3369,1,1,0.8675,0.9694,0.8041,0.8791,0.5132,0.9494,0.6663,4,5,26,0.603,0.6034,0.8611419557132477,0.5119889923487843,3.333333333333333,0.1508523527754297,860.1,27.325443786982248
16,0.5,A_ingraph_true,random graph,disc,2,0.1,0.7041,0.7324,0.7179,NA,NA,NA,1,1,0.9317,1.0,0.7109,0.831,NA,NA,NA,10,NA,28,0.8668,NA,0.8834915997078159,,0.0,,7.4,
17,0.5,A_ingraph_true,random graph,disc,2,0.5,0.6466,0.6769,0.6614,NA,NA,NA,1,1,0.9317,1.0,0.7109,0.831,NA,NA,NA,9,NA,28,0.8555,NA,0.8834915997078159,,0.0,,7.4,
18,0.5,A_ingraph_true,random graph,disc,3,0.1,0.0966,0.1907,0.1282,0.4904,0.6855,0.5717,1,1,0.9736,1.0,0.4849,0.6531,0.8039,0.7902,0.797,5,30,172,0.5974,0.845,0.8882627894927082,0.7061917870724527,0.0,0.0258805841924398,85.3,6.309278350515464
19,0.5,A_ingraph_true,random graph,disc,3,0.5,0.1682,0.2956,0.2144,0.4695,0.7091,0.565,1,1,0.9748,1.0,0.4818,0.6503,0.8097,0.7907,0.8001,7,32,172,0.5806,0.8549,0.8869750000338806,0.7011164401847998,0.0,0.026524914089347,85.9,6.309278350515464
20,0.5,A_ingraph_true,random graph,full,2,0.1,0.5014,0.5697,0.5334,NA,NA,NA,1,1,0.6018,0.8092,0.6452,0.7179,NA,NA,NA,10,NA,22,0.6297,NA,0.4255214533409244,,0.7222222222222222,,7.4,
21,0.5,A_ingraph_true,random graph,full,2,0.5,0.4123,0.5337,0.4652,NA,NA,NA,1,1,0.5952,0.7726,0.6405,0.7004,NA,NA,NA,9,NA,21,0.6055,NA,0.4270373871035496,,0.7111111111111111,,7.4,
22,0.5,A_ingraph_true,random graph,full,3,0.1,0.0848,0.1758,0.1144,0.4351,0.6523,0.522,1,1,0.931,0.9334,0.4564,0.6131,0.7914,0.7844,0.7878,6,34,173,0.4991,0.6949,0.8040319072962436,0.6454068653296586,0.8888888888888888,0.0342568728522336,85.1,6.309278350515464
23,0.5,A_ingraph_true,random graph,full,3,0.5,0.041,0.0932,0.057,0.4281,0.6471,0.5153,1,1,0.9392,0.9269,0.4535,0.609,0.7923,0.7857,0.789,5,36,172,0.4917,0.6832,0.818756464572681,0.6488636961285605,0.7222222222222222,0.0337199312714776,86.0,6.298969072164948
0,0,A_ingraph_true,small world,disc,2,0.1,0.8657,1.0,0.928,NA,NA,NA,1,1,0.8963,1.0,1.0,1.0,NA,NA,NA,8,NA,10,0.8471,NA,0.8963220116344528,,0.0,,29.2,
1,0,A_ingraph_true,small world,disc,2,0.5,0.8735,1.0,0.9325,NA,NA,NA,1,1,0.8963,1.0,1.0,1.0,NA,NA,NA,8,NA,10,0.8507,NA,0.8963220116344528,,0.0,,29.2,
2,0,A_ingraph_true,small world,disc,3,0.1,0.3696,0.5815,0.4519,0.4768,0.9352,0.6316,1,1,0.9363,1.0,0.69,0.8166,0.6275,0.9336,0.7506,5,16,29,0.7341,0.8543,0.8974665600000034,0.7137938200000006,0.0,0.0686496601989559,500.0,25.216783216783217
3,0,A_ingraph_true,small world,disc,3,0.5,0.474,0.6582,0.5512,0.4686,0.9124,0.6192,1,1,0.935,1.0,0.6884,0.8155,0.628,0.9322,0.7504,6,18,29,0.759,0.851,0.8974678655433584,0.7185351141051546,0.0,0.0670737712991234,497.0,25.23076923076923
4,0,A_ingraph_true,small world,full,2,0.1,0.6109,0.8519,0.7115,NA,NA,NA,1,1,0.6704,0.8654,0.8385,0.8518,NA,NA,NA,6,NA,11,0.6137,NA,0.6480594233450742,,1.0777777777777775,,29.2,
5,0,A_ingraph_true,small world,full,2,0.5,0.4681,0.9779,0.6331,NA,NA,NA,1,1,0.6795,0.8759,0.8468,0.8611,NA,NA,NA,3,NA,11,0.5232,NA,0.6675357314415801,,0.9666666666666668,,29.2,
6,0,A_ingraph_true,small world,full,3,0.1,0.1581,0.3494,0.2177,0.401,0.845,0.5439,1,1,0.8969,0.9278,0.6163,0.7406,0.6472,0.9269,0.7622,3,19,41,0.5729,0.7582,0.8538932398002711,0.6864461774267521,2.522222222222222,0.0784497192947897,497.8,25.25874125874126
7,0,A_ingraph_true,small world,full,3,0.5,0.3316,0.4876,0.3948,0.3843,0.8579,0.5308,1,1,0.8965,0.9191,0.6211,0.7413,0.638,0.9296,0.7567,6,14,37,0.6811,0.7648,0.8529440407568846,0.6904505705808073,2.555555555555556,0.0768738303949571,493.8,25.223776223776223
8,0,A_ingraph_true,scale free,disc,2,0.1,0.7864,1.0,0.8804,NA,NA,NA,1,1,0.8889,1.0,1.0,1.0,NA,NA,NA,7,NA,10,0.7846,NA,0.8888703553118391,,0.0,,65.7,
9,0,A_ingraph_true,scale free,disc,2,0.5,0.7649,1.0,0.8668,NA,NA,NA,1,1,0.8889,1.0,1.0,1.0,NA,NA,NA,6,NA,10,0.8222,NA,0.8888703553118391,,0.0,,65.7,
