,subgraph_type,connection_prob,layers,StDev,nodes_per_layer,edges_per_layer,subgraph_prob,sample_size,modularity_top,avg_node_degree_top,avg_connect_within_top,avg_connect_between_top,modularity_middle,avg_node_degree_middle,avg_connect_within_middle,avg_connect_between_middle
0,small world,disc,2,0.1,"(10, 63)","(0, 63)",0.05,500,0.8984630889392795,1.0,6.3,0.0,NA,NA,NA,NA
1,small world,disc,2,0.5,"(10, 63)","(0, 63)",0.05,500,0.8984630889392795,1.0,6.3,0.0,NA,NA,NA,NA
2,small world,disc,3,0.1,"(10, 63, 1604)","(0, 63, 2011)",0.05,500,0.8977387175111717,1.2537406483790523,201.1,0.0,0.7615961540220977,1.2537406483790523,24.825396825396826,0.11443932411674347
3,small world,disc,3,0.5,"(10, 63, 1604)","(0, 63, 2031)",0.05,500,0.8984933433310028,1.2662094763092269,203.1,0.0,0.7583371091266077,1.2662094763092269,24.96825396825397,0.11725550435227855
4,small world,full,2,0.1,"(10, 63)","(45, 115)",0.05,500,0.447069943289225,1.8253968253968254,6.3,0.5777777777777777,NA,NA,NA,NA
5,small world,full,2,0.5,"(10, 63)","(45, 109)",0.05,500,0.4774008921807928,1.7301587301587302,6.3,0.5111111111111111,NA,NA,NA,NA
6,small world,full,3,0.1,"(10, 63, 1604)","(45, 114, 1604)",0.05,500,0.7657170196053478,1.4326683291770574,199.3,3.388888888888889,0.6673175145299847,1.4326683291770574,24.936507936507937,0.18612391193036354
7,small world,full,3,0.5,"(10, 63, 1604)","(45, 111, 1604)",0.05,500,0.7709428098783819,1.4389027431421446,201.3,3.2777777777777777,0.6625880630705044,1.4389027431421446,24.873015873015873,0.18970814132104455
8,scale free,disc,2,0.1,"(10, 58)","(0, 74)",0.05,500,0.8900657414170928,1.2758620689655173,7.4,0.0,NA,NA,NA,NA
9,scale free,disc,2,0.5,"(10, 58)","(0, 74)",0.05,500,0.8900657414170928,1.2758620689655173,7.4,0.0,NA,NA,NA,NA
10,scale free,disc,3,0.1,"(10, 58, 1450)","(0, 74, 6700)",0.05,500,0.8920508799287147,4.620689655172414,670.0,0.0,0.9059526954778345,4.620689655172414,107.06896551724138,0.1482153660012099
11,scale free,disc,3,0.5,"(10, 58, 1450)","(0, 74, 6670)",0.05,500,0.8926107411062084,4.6,667.0,0.0,0.9100985863889643,4.6,107.06896551724138,0.13914095583787053
12,scale free,full,2,0.1,"(10, 58)","(45, 120)",0.05,500,0.5129166666666667,2.0689655172413794,7.4,0.5111111111111111,NA,NA,NA,NA
13,scale free,full,2,0.5,"(10, 58)","(45, 120)",0.05,500,0.5127777777777778,2.0689655172413794,7.4,0.5111111111111111,NA,NA,NA,NA
14,scale free,full,3,0.1,"(10, 58, 1450)","(45, 123, 1450)",0.05,500,0.8538509156128498,4.780689655172414,665.9,3.033333333333333,0.8751896774669372,4.780689655172414,107.06896551724138,0.21839080459770116
15,scale free,full,3,0.5,"(10, 58, 1450)","(45, 122, 1450)",0.05,500,0.8486827337867456,4.842758620689655,671.4,3.422222222222222,0.8636405451037595,4.842758620689655,107.06896551724138,0.24561403508771928
16,random graph,disc,2,0.1,"(10, 45)","(0, 32)",0.05,500,0.8828125,0.7111111111111111,3.2,0.0,NA,NA,NA,NA
17,random graph,disc,2,0.5,"(10, 45)","(0, 32)",0.05,500,0.8828125,0.7111111111111111,3.2,0.0,NA,NA,NA,NA
18,random graph,disc,3,0.1,"(10, 45, 725)","(0, 32, 678)",0.05,500,0.8855039548907515,0.9351724137931035,67.8,0.0,0.7831695251520611,0.9351724137931035,12.155555555555555,0.06616161616161616
19,random graph,disc,3,0.5,"(10, 45, 725)","(0, 32, 665)",0.05,500,0.8852914240488432,0.9172413793103448,66.5,0.0,0.8034586466165413,0.9172413793103448,12.222222222222221,0.05808080808080808
20,random graph,full,2,0.1,"(10, 45)","(45, 77)",0.05,500,0.3126159554730983,1.711111111111111,3.2,0.5,NA,NA,NA,NA
21,random graph,full,2,0.5,"(10, 45)","(45, 77)",0.05,500,0.3126159554730983,1.711111111111111,3.2,0.5,NA,NA,NA,NA
22,random graph,full,3,0.1,"(10, 45, 725)","(45, 78, 725)",0.05,500,0.7575230952163172,1.04,65.5,1.1,0.7031341246332558,1.04,12.177777777777777,0.10404040404040404
23,random graph,full,3,0.5,"(10, 45, 725)","(45, 78, 725)",0.05,500,0.7206337125460659,1.089655172413793,65.7,1.4777777777777779,0.6686700849222883,1.089655172413793,12.155555555555555,0.12272727272727273
