CMDLINE /Users/jordandavis/miniconda3/envs/hgrnenv/bin/python /Users/jordandavis/Documents/HGRN_repo_fork/run_sim.py
MEM 0.121094 1755564703.8385
MEM 11.824219 1755564703.9396
MEM 16.203125 1755564704.0398
MEM 17.468750 1755564704.1413
MEM 21.902344 1755564704.2417
MEM 27.558594 1755564704.3454
MEM 37.449219 1755564704.4461
MEM 44.589844 1755564704.5464
MEM 53.414062 1755564704.6507
MEM 60.000000 1755564704.7554
MEM 65.101562 1755564704.8598
MEM 68.398438 1755564704.9644
MEM 72.320312 1755564705.0671
MEM 77.433594 1755564705.1685
MEM 81.023438 1755564705.2722
MEM 83.859375 1755564705.3762
MEM 86.296875 1755564705.4797
MEM 86.296875 1755564705.5800
MEM 86.296875 1755564705.6808
MEM 86.296875 1755564705.7823
MEM 86.296875 1755564705.8865
MEM 86.296875 1755564705.9905
MEM 86.296875 1755564706.0954
MEM 86.296875 1755564706.2002
MEM 86.296875 1755564706.3054
MEM 86.296875 1755564706.4083
MEM 86.296875 1755564706.5128
MEM 86.296875 1755564706.6130
MEM 86.296875 1755564706.7159
MEM 86.296875 1755564706.8187
MEM 86.296875 1755564706.9231
MEM 86.296875 1755564707.0241
MEM 86.296875 1755564707.1265
MEM 86.296875 1755564707.2286
MEM 86.296875 1755564707.3289
MEM 86.296875 1755564707.4301
MEM 86.296875 1755564707.5337
MEM 86.296875 1755564707.6385
MEM 86.296875 1755564707.7421
MEM 86.296875 1755564707.8464
MEM 86.296875 1755564707.9479
MEM 86.296875 1755564708.0485
MEM 86.296875 1755564708.1510
MEM 86.296875 1755564708.2559
MEM 86.296875 1755564708.3585
MEM 86.296875 1755564708.4621
MEM 86.296875 1755564708.5628
MEM 86.296875 1755564708.6640
MEM 86.296875 1755564708.7645
MEM 86.296875 1755564708.8658
MEM 86.296875 1755564708.9676
MEM 86.296875 1755564709.0730
MEM 86.296875 1755564709.1773
MEM 86.296875 1755564709.2817
MEM 86.296875 1755564709.3843
MEM 86.296875 1755564709.4892
MEM 86.296875 1755564709.5905
MEM 86.296875 1755564709.6931
MEM 86.296875 1755564709.7954
MEM 86.296875 1755564709.9000
MEM 86.296875 1755564710.0010
MEM 86.296875 1755564710.1055
MEM 86.296875 1755564710.2059
MEM 86.296875 1755564710.3105
MEM 86.296875 1755564710.4115
MEM 86.296875 1755564710.5130
MEM 86.296875 1755564710.6176
MEM 86.296875 1755564710.7225
MEM 86.296875 1755564710.8252
MEM 86.296875 1755564710.9287
MEM 86.296875 1755564711.0329
MEM 86.296875 1755564711.1363
MEM 86.296875 1755564711.2379
MEM 86.296875 1755564711.3392
MEM 86.296875 1755564711.4413
MEM 86.296875 1755564711.5454
MEM 86.296875 1755564711.6494
MEM 86.296875 1755564711.7528
MEM 86.296875 1755564711.8570
MEM 86.296875 1755564711.9620
MEM 86.296875 1755564712.0645
MEM 86.296875 1755564712.1657
MEM 86.296875 1755564712.2670
MEM 86.296875 1755564712.3692
MEM 86.296875 1755564712.4726
MEM 87.933594 1755564712.5777
MEM 93.386719 1755564712.6798
MEM 99.968750 1755564712.7804
MEM 104.843750 1755564712.8806
MEM 111.515625 1755564712.9826
MEM 117.359375 1755564713.0848
MEM 120.539062 1755564713.1890
MEM 122.632812 1755564713.2910
MEM 125.457031 1755564713.3954
MEM 128.187500 1755564713.4962
MEM 130.332031 1755564713.5976
MEM 133.320312 1755564713.7024
MEM 135.890625 1755564713.8068
MEM 138.210938 1755564713.9123
MEM 140.269531 1755564714.0145
MEM 143.093750 1755564714.1183
MEM 144.281250 1755564714.2225
MEM 148.621094 1755564714.3261
MEM 152.472656 1755564714.4296
MEM 154.324219 1755564714.5342
MEM 157.238281 1755564714.6388
MEM 161.832031 1755564714.7418
MEM 164.128906 1755564714.8453
MEM 166.929688 1755564714.9494
MEM 171.363281 1755564715.0530
MEM 174.402344 1755564715.1576
MEM 177.277344 1755564715.2627
MEM 179.882812 1755564715.3666
MEM 182.523438 1755564715.4695
MEM 185.292969 1755564715.5745
MEM 188.441406 1755564715.6790
MEM 191.722656 1755564715.7823
MEM 195.230469 1755564715.8867
MEM 198.000000 1755564715.9883
MEM 201.324219 1755564716.0913
MEM 203.621094 1755564716.1954
MEM 206.644531 1755564716.2988
MEM 208.683594 1755564716.3992
MEM 210.855469 1755564716.5029
MEM 213.332031 1755564716.6059
MEM 214.152344 1755564716.7099
MEM 215.585938 1755564716.8120
MEM 216.035156 1755564716.9163
MEM 217.472656 1755564717.0183
MEM 218.964844 1755564717.1206
MEM 219.390625 1755564717.2210
MEM 221.109375 1755564717.3240
MEM 223.011719 1755564717.4243
MEM 225.175781 1755564717.5292
MEM 226.378906 1755564717.6297
MEM 228.222656 1755564717.7312
MEM 230.289062 1755564717.8352
MEM 231.988281 1755564717.9374
MEM 234.589844 1755564718.0388
MEM 236.238281 1755564718.1392
MEM 239.585938 1755564718.2412
MEM 243.503906 1755564718.3462
MEM 244.167969 1755564718.4490
MEM 250.910156 1755564718.5529
MEM 253.261719 1755564718.6570
MEM 253.917969 1755564718.7620
MEM 253.917969 1755564718.8627
MEM 253.917969 1755564718.9647
MEM 253.917969 1755564719.0673
MEM 253.917969 1755564719.1726
MEM 253.917969 1755564719.2754
MEM 253.917969 1755564719.3804
MEM 253.917969 1755564719.4838
MEM 253.917969 1755564719.5862
MEM 253.917969 1755564719.6882
MEM 253.917969 1755564719.7935
MEM 253.917969 1755564719.8953
MEM 253.917969 1755564719.9989
MEM 253.917969 1755564720.1028
MEM 253.917969 1755564720.2038
MEM 253.917969 1755564720.3074
MEM 253.917969 1755564720.4093
MEM 253.917969 1755564720.5097
MEM 253.917969 1755564720.6120
MEM 253.917969 1755564720.7158
MEM 253.917969 1755564720.8172
MEM 253.917969 1755564720.9186
MEM 253.917969 1755564721.0219
MEM 253.917969 1755564721.1265
MEM 253.917969 1755564721.2286
MEM 253.917969 1755564721.3321
MEM 253.917969 1755564721.4352
MEM 253.917969 1755564721.5371
MEM 253.917969 1755564721.6393
MEM 253.917969 1755564721.7447
MEM 253.917969 1755564721.8460
MEM 253.917969 1755564721.9476
MEM 253.917969 1755564722.0528
MEM 253.917969 1755564722.1560
MEM 253.917969 1755564722.2601
MEM 253.917969 1755564722.3632
MEM 253.917969 1755564722.4652
MEM 253.917969 1755564722.5659
MEM 253.917969 1755564722.6680
MEM 253.917969 1755564722.7725
MEM 253.917969 1755564722.8753
MEM 253.917969 1755564722.9786
MEM 253.917969 1755564723.0838
MEM 253.917969 1755564723.1853
MEM 253.917969 1755564723.2863
MEM 253.917969 1755564723.3868
MEM 253.917969 1755564723.4903
MEM 253.917969 1755564723.5926
MEM 253.917969 1755564723.6975
MEM 253.917969 1755564723.7980
MEM 253.917969 1755564723.8990
MEM 253.917969 1755564724.0008
MEM 253.917969 1755564724.1024
MEM 253.917969 1755564724.2055
MEM 252.960938 1755564724.3060
MEM 252.960938 1755564724.4063
MEM 249.472656 1755564724.5070
MEM 244.683594 1755564724.6074
MEM 244.683594 1755564724.7135
MEM 244.527344 1755564724.8156
MEM 244.527344 1755564724.9176
MEM 244.480469 1755564725.0222
MEM 244.480469 1755564725.1274
MEM 244.480469 1755564725.2294
MEM 244.480469 1755564725.3299
MEM 244.480469 1755564725.4306
MEM 244.480469 1755564725.5341
MEM 244.480469 1755564725.6392
MEM 244.480469 1755564725.7422
MEM 244.480469 1755564725.8463
MEM 244.484375 1755564725.9501
MEM 245.347656 1755564726.0507
MEM 246.203125 1755564726.1524
MEM 246.671875 1755564726.2571
MEM 247.515625 1755564726.3585
MEM 248.312500 1755564726.4627
MEM 248.625000 1755564726.5659
MEM 248.835938 1755564726.6680
MEM 249.074219 1755564726.7725
MEM 250.183594 1755564726.8754
MEM 251.964844 1755564726.9783
MEM 252.496094 1755564727.0810
MEM 252.832031 1755564727.1853
MEM 253.109375 1755564727.2863
MEM 254.695312 1755564727.3892
MEM 255.722656 1755564727.4902
MEM 256.468750 1755564727.5924
MEM 257.277344 1755564727.6972
MEM 257.277344 1755564727.7977
MEM 258.414062 1755564727.8999
MEM 259.757812 1755564728.0040
MEM 260.601562 1755564728.1081
MEM 261.414062 1755564728.2116
MEM 261.523438 1755564728.3127
MEM 261.707031 1755564728.4138
MEM 261.910156 1755564728.5143
MEM 262.125000 1755564728.6195
MEM 263.878906 1755564728.7211
MEM 264.460938 1755564728.8263
